,max_abs_r,n_significant,profile_variance,profile_range,max_abs_r_norm,n_sig_norm,var_norm,composite_score
Alistipes_indistinctus,0.0778261581860595,1,0.0012581518740738496,0.1213069018603879,0.2046056873308627,0.08333333333333333,0.11712910791224834,0.14029121857707383
Eubacterium_sp_OM08_24,0.0758561329217492,1,0.001246098456653138,0.1250353918486829,0.1994264727498252,0.08333333333333333,0.1160069810380018,0.13793900102609719
Bacteroides_dorei,0.081048598364942,1,0.0010082272262674288,0.1382514545546434,0.21307751226800764,0.08333333333333333,0.09386208296393064,0.1378631923148524
Bacteroides_salyersiae,0.0826955537650305,1,0.000908392617526265,0.1262511618420179,0.2174073731977065,0.08333333333333333,0.08456786427572283,0.13727158201467998
Bacteroides_thetaiotaomicron,0.0766943005988379,1,0.0011273829438789677,0.1296387090680362,0.2016300232997477,0.08333333333333333,0.10495502269090683,0.13605743165929243
Actinomyces_odontolyticus,0.0745879587096405,1,0.0009881066448697805,0.11154344376236239,0.19609243105521337,0.08333333333333333,0.0919889341030134,0.13060087261450537
Rothia_mucilaginosa,0.072459437337232,0,0.0016655809692215303,0.13481661941532308,0.19049652874485004,0.0,0.1550591920583069,0.11496340951251674
Turicibacter_sanguinis,0.0728262258163951,0,0.0013350809654228716,0.1412672997166132,0.19146081903790027,0.0,0.12429091089318314,0.1076570553384559
Clostridium_sp_CAG_253,0.0713174825872261,0,0.001361243650890871,0.1348729929904367,0.1874943191796919,0.0,0.12672655644011785,0.10667936678190623
Eubacterium_sp_CAG_180,0.0730213885435678,0,0.001262396803244343,0.12907293133870268,0.19197390364679323,0.0,0.11752429451661324,0.1061706350878706
Dorea_longicatena,0.0618559776230668,0,0.0017019306238625152,0.1204601924153739,0.1626199354056905,0.0,0.15844320531517303,0.10465877549106946
Eubacterium_sp_CAG_274,0.0700762935114926,0,0.0012667782353416347,0.1310617678353346,0.18423122165737965,0.0,0.11793218901926351,0.10317553591776774
Coprobacter_secundus,0.0716416951948908,0,0.0010985456037388647,0.1277359097245726,0.1883466771140766,0.0,0.10227037706522771,0.10090626511193757
Olsenella_scatoligenes,0.0661934872771477,0,0.0013251497686795786,0.1292635070262506,0.1740232882726761,0.0,0.12336635461423692,0.10045090396262968
Ruminococcus_callidus,0.0674391348207164,0,0.00118466798979767,0.1297672534711573,0.17729810714802854,0.0,0.11028804047948576,0.09849125297908286
Blautia_obeum,0.073912872788848,0,0.0007955175382988347,0.1069537324019631,0.1943176239460032,0.0,0.07405962786335371,0.0962419565442397
Ruminococcus_bicirculans,0.0658530959713806,0,0.0010311842805723612,0.10912646506832341,0.17312839639183283,0.0,0.09599929655987204,0.09325118269670114
Fusicatenibacter_saccharivorans,0.0629070322368694,0,0.0010658990064420174,0.11138463005971061,0.16538316767478478,0.0,0.0992311042265929,0.09096104312656214
Bacteroides_faecis,0.0633704693943094,0,0.0010259718778651474,0.1239494842355767,0.16660154823400475,0.0,0.09551404188453742,0.09051912976473626
Firmicutes_bacterium_CAG_238,0.0621462463358038,0,0.0010437906979372973,0.122598500304859,0.16338305452739008,0.0,0.09717290560529145,0.08964644821227889
Monoglobus_pectinilyticus,0.0686281781185587,0,0.0007272786070227119,0.1087660405787671,0.18042411293954608,0.0,0.06770684541318955,0.08909635652911582
Bacteroides_cellulosilyticus,0.0596059046064033,0,0.0010303080055974905,0.1179356306144644,0.15670447270202684,0.0,0.09591771872478914,0.08666121876200802
Clostridium_asparagiforme,0.0589900540503929,0,0.0008148351540868986,0.1076044466536403,0.15508539591290463,0.0,0.07585802370957305,0.08099866429255512
Alistipes_inops,0.0566000903894768,0,0.0009088285395467533,0.1085927121326044,0.14880215941588434,0.0,0.08460844694179935,0.08067297550180358
Bacteroides_vulgatus,0.0615736365745225,0,0.0006467333318842389,0.0921083900690062,0.16187765818623667,0.0,0.0602083896083523,0.07980316067658275
Gemmiger_formicilis,0.0549854951467742,0,0.000933795473359358,0.1070267276449002,0.14455737363827312,0.0,0.08693277260155105,0.07955614260569702
Actinomyces_sp_ICM47,0.0574566298910263,0,0.0007146297436425954,0.0943240657354399,0.1510540096616795,0.0,0.06652928480675836,0.0770539250663614
Bacteroides_faecis_CAG_32,0.0516362644854403,0,0.0009657343517575565,0.1011232899392763,0.13575221535391405,0.0,0.08990615952850896,0.07677742602369286
Eubacterium_sp_CAG_251,0.0534636898400989,0,0.0007363932338915719,0.09687952860903601,0.14055653345788469,0.0,0.06855538217262368,0.0733614589263098
Bacteroides_eggerthii,0.0517989625854982,0,0.0006931991404630075,0.0825501210217213,0.136179950158839,0.0,0.06453417794869777,0.07060552455071004
Firmicutes_bacterium_CAG_83,0.0462756442525711,0,0.0007061610229529339,0.0790174042625104,0.12165909534349578,0.0,0.06574087943219399,0.06509885799544682
Eubacterium_rectale,0.0486328070582656,0,0.0005532094590188221,0.0912054129283895,0.12785609808975568,0.0,0.05150167619564247,0.06401785828481289
Bacteroides_stercoris,0.0508054785569737,0,0.0004210787663619977,0.0859040961737563,0.13356807148916952,0.0,0.039200816118544264,0.06322743262530388
Bacteroides_xylanisolvens,0.0464548541643114,0,0.0005583113640377655,0.0903304204316061,0.12213023985355198,0.0,0.051976643960533135,0.06184625693155408
